Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City C,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,M,PhDhh,Divorced,72799,688,45713,Business,Unemployed,19,Poor,0.154313296,120228,0,port elizabeth,Port Elizabeth,AS,Cyprus,2,2,Low
57,F,Bachelor's,Widowed,,690,33835,Auto,Employed,6,Fair,0.148919643,55849,0,north catherine,North Catherine,OH,Turkmenistan,3,2,Medium
21,Non-binary,Master's,Single,55687,600,36623,Home,Employed,8,Fair,0.362398017,180700,3,south scott,South Scott,OK,Luxembourg,3,2,Medium
59,M,Bachelor's,Single,26508,622,26541,Personal,Unemployed,2,Excellent,0.454964381,157319,3,robinhaven,Robinhaven,PR,Uganda,4,2,Medium
25,Non-binary,Bachelor's,Widowed,49427,766,36528,Personal,Unemployed,10,Fair,0.143242424,287140,,new heather,New Heather,IL,Namibia,3,1,Low
42,Non-binary,Master's,Single,116212,707,24771,Home,Employed,11,Excellent,0.114133748,212198,3,matthewborough,Matthewborough,NH,French Guiana,0,2,Medium
60,F,PhD,Divorced,,686,15497,Personal,Self-employed,18,Poor,0.328174707,47603,4,west kelseymouth,West Kelseymouth,NM,Eritrea,2,2,High
68,M,High School,Divorced,79454,688,43365,Personal,Self-employed,15,Good,0.329281544,61967,,dakotafurt,Dakotafurt,IA,Grenada,3,0,Medium
55,M,High School,Married,70978,706,36970,Personal,Unemployed,19,Excellent,0.266940909,54041,3,christophermouth,Christophermouth,MO,Tonga,1,0,Medium
60,Non-binary,Bachelor's,Divorced,,738,37001,Business,Employed,7,Fair,0.338970973,53055,,johnsonstad,Johnsonstad,MS,Malawi,1,2,Low
56,Non-binary,PhD,Married,21084,702,22039,Personal,Employed,19,Fair,0.231046374,226053,2,east james,East James,MP,Isle of Man,0,2,Medium
37,Non-binary,PhD,Single,,664,34904,Auto,Self-employed,12,Excellent,0.106281464,152686,,lake timothy,Lake Timothy,PR,Zambia,3,0,Medium
41,M,PhD,Married,93133,791,14052,Business,Employed,13,Poor,0.282850057,82774,0,lewisland,Lewisland,AZ,South Georgia and the South Sandwich Islands,1,0,Low
64,M,PhD,Married,,636,21086,Auto,Employed,13,Fair,0.460985402,261445,,south ryan,South Ryan,IA,Tokelau,4,2,Low
